index,用户ID,商品ID,times
0,1006458808717869952,1063340225477020032,1
1,1006458808717869952,1070188447352809984,1
2,1006530661964640000,930021583843560960,1
3,1006763726750150016,925979767334834048,2
4,1007267654633849984,1053581651402099968,1
5,1007267654633849984,1062636078532460032,1
6,1007267654633849984,1067816065782840064,1
7,1007267654633849984,1071305870604829952,1
8,1007267654633849984,1072045513977689984,1
9,1007267654633849984,1077744349974950016,1
10,1007267654633849984,1079979285209479936,1
11,1007991019648649984,1053579277283430016,1
12,1007991019648649984,1057119644821810048,1
13,1007991019648649984,1069500459216080000,1
14,1007991019648649984,1070230387263859968,1
15,1007991019648649984,1070506310131320064,1
16,1007991019648649984,1078505592029510016,1
17,1007991019648649984,1078515366481689984,1
18,1007991019648649984,930021583843560960,1
19,1008184526665479936,1067816065782840064,1
20,1008184526665479936,1070188447352809984,1
21,1010147310995309952,1054606521153939968,2
22,1010147310995309952,1070189984758169984,1
23,1010147310995309952,1072757609375789952,1
24,1010147310995309952,1078176307829869952,1
25,1010147310995309952,1079973987035970048,1
26,1010147310995309952,1082570513180589952,1
27,1010147310995309952,930020311925067008,1
28,1011168743477280000,1085443157684979968,1
29,1015520920861740032,1053468149589020032,1
30,1015520920861740032,1053578271581600000,2
31,1015520920861740032,1053584688170470016,1
32,1015520920861740032,1054606521153939968,1
33,1015520920861740032,1054639773994520064,1
34,1015520920861740032,1057119644821810048,1
35,1015520920861740032,1063255404587320064,2
36,1015520920861740032,1078458699484300032,1
37,1015520920861740032,1079935384750720000,1
38,1015520920861740032,1079973987035970048,1
39,1015520920861740032,1079984983150489984,1
40,1015520920861740032,930021583843560960,1
41,1016578781566009984,1063334104817270016,1
42,1016578781566009984,1067816065782840064,1
43,1016578781566009984,1070190717700210048,1
44,1016578781566009984,1071233934872870016,1
45,1016578781566009984,1074922684698130048,2
46,1016578781566009984,1078193798404700032,1
47,1017552495354899968,1077406774068310016,1
48,1020469506087120000,1054907065076610048,1
49,1021454851255629952,1072738615495289984,1
50,1021454851255629952,930033836093410944,1
51,1026374773811250048,1053581651402099968,1
52,1026374773811250048,1055640875518979968,1
53,1026374773811250048,1067816065782840064,1
54,1026406365346720000,1072045513977689984,1
55,1026406665340120064,1058615745546620032,1
56,1026457027447160064,1072054676204089984,1
57,1027415957346249984,1063334104817270016,1
58,1028315210130189952,1074115973322179968,1
59,1030290232608620032,1078159900769580032,1
60,1031412902553260032,1051770471398310016,1
61,1031412902553260032,1053584688170470016,1
62,1031412902553260032,1071233934872870016,2
63,1031412902553260032,1071305870604829952,1
64,1031412902553260032,1072025241794969984,1
65,1031412902553260032,1072039057614240000,1
66,1031412902553260032,1079201135026310016,1
67,1031412902553260032,1079213286902269952,1
68,1031412902553260032,1079935384750720000,1
69,1031412902553260032,1080267945565810048,1
70,1031412902553260032,930021583843560960,1
71,1042269295455830016,1074922684698130048,1
72,1042269295455830016,930036376344268032,1
73,1042743370351440000,925984429119180032,1
74,1044808806853309952,1063340225477020032,1
75,1044834935131670016,1078537154968220032,1
76,1044836221184969984,1072045513977689984,1
77,1044836221184969984,1072362019781410048,1
78,1044836221184969984,1073027720707900032,1
79,1044836221184969984,1074115973322179968,1
80,1044836221184969984,1074922684698130048,1
81,1044836221184969984,1075726560196099968,1
82,1044836221184969984,1077841557781020032,1
83,1044836221184969984,1078193798404700032,1
