index,用户ID,商品ID,times
0,1007991019648649984,1062636078532460032,1
1,1009247663472839936,1062636078532460032,2
2,1009247663472839936,1067816065782840064,8
3,1011202127314349952,930020311925067008,1
4,1016882573721270016,1062636078532460032,1
5,1016989173031170048,1063334104817270016,1
6,1021946974329440000,1057119644821810048,1
7,1021946974329440000,930022039676324992,1
8,1024699329932230016,1063340225477020032,1
9,1025239821497469952,1067816065782840064,1
10,1025239821497469952,1072325448805970048,2
11,1025239821497469952,1079979285209479936,1
12,1043136061811779968,1074911558212060032,1
13,1043136061811779968,1076114626446429952,1
14,1043136061811779968,1077416131820579968,1
15,1044863615396540032,1063098050990370048,2
16,1044863615396540032,1063334104817270016,2
17,1044863615396540032,930021583843560960,2
18,1045174449410739968,1076027018739510016,1
19,1045180143618819968,1078878841011760000,1
20,1045189752291129984,1079213286902269952,2
21,1045200479479459968,1063340225477020032,1
22,1045201267798899968,1054904167261340032,1
23,1045209977136940032,1063340225477020032,1
24,1045235629030439936,1062636078532460032,1
25,1045235629030439936,1072352278325820032,1
26,1045342673972560000,1079988697420589952,1
27,1045455661551389952,1072767600983869952,1
28,1045553361550640000,1078878841011760000,1
29,1046016020939079936,1076114626446429952,1
30,1046679757060640000,1063340225477020032,1
31,1047630929875500032,1072767600983869952,1
32,1049210798463840000,1071233934872870016,1
33,1049210798463840000,1072054676204089984,1
34,1049214892062599936,1079988697420589952,2
35,1049215742419990016,1073513010564230016,2
36,1049215917758680064,1070189984758169984,1
37,1049216911963910016,1063340225477020032,1
38,1049217744994630016,1072352278325820032,1
39,1049219130058669952,1077418014194860032,1
40,1049220285627170048,1079988697420589952,1
41,1049224218286290048,1072765952437849984,1
42,1049225850134790016,1072325448805970048,1
43,1049230933400550016,1079979285209479936,1
44,1049231613964120064,1078878841011760000,1
45,1049239101610460032,1072767600983869952,1
46,1049241106559069952,1076027018739510016,1
47,1049241106559069952,1079218767259570048,1
48,1049241351711949952,1072045513977689984,1
49,1049243039415990016,1062343120067299968,1
50,1049243039415990016,1063322720062729984,1
51,1049243039415990016,1076114626446429952,1
52,1049246715366930048,1071233934872870016,1
53,1049246715366930048,1074115973322179968,1
54,1049252681575629952,1076114626446429952,1
55,1049254517288269952,1071233934872870016,1
56,1049255592812669952,1079988697420589952,1
57,1049258696023010048,1063719142226460032,1
58,1049258696023010048,1082315993301190016,1
59,1050633681329260032,1072767600983869952,1
60,1050647944454269952,930021583843560960,1
61,1050650573611789952,925980941496684032,1
62,1050652841144809984,1076114626446429952,1
63,1050654674294729984,1074173594280460032,1
64,1050659297042690048,1072054676204089984,2
65,1050667235648009984,1063340225477020032,1
66,1050667235648009984,1067816065782840064,1
67,1050670448610700032,1076114626446429952,1
68,1050675051788039936,1076114626446429952,1
69,1050675869228530048,1077418014194860032,1
70,1050679778227580032,930021583843560960,2
71,1050683581760860032,1077416131820579968,1
72,1050692180310560000,1071233934872870016,2
73,1050695927950540032,1072352278325820032,1
74,1050710362526119936,930020311925067008,1
75,1050713918276700032,1070189984758169984,1
76,1050716275836259968,1072765952437849984,1
77,1050720950249650048,1073513010564230016,1
78,1050731126184800000,1077418014194860032,1
79,1050731126184800000,1079218767259570048,1
80,1050732346890850048,1063340225477020032,2
81,1050732346890850048,1071233934872870016,2
82,1050734226555600000,1071233934872870016,1
83,1050736797785590016,1071233934872870016,1
84,1050749642459910016,1077842555702409984,1
85,1050754134987309952,1072767600983869952,1
86,1050754134987309952,1078891478315500032,1
87,1050755151854370048,1077744349974950016,1
88,1050764109390349952,1079213286902269952,1
89,1050781503533939968,1074173594280460032,1
90,1050788895499810048,1077744349974950016,1
91,1050884690446189952,1074115973322179968,1
92,1050884690446189952,1079988697420589952,1
93,1050888690612630016,1072352278325820032,1
94,1050890937799079936,930021583843560960,1
95,1050893357648249984,1071233934872870016,1
96,1050902242559849984,1077389675279219968,1
97,1050906296497270016,930021583843560960,1
98,1050908059065449984,1070190717700210048,1
99,1050909363821149952,1078878841011760000,1
100,1050909657292409984,1078152846591980032,2
101,1050911491176329984,1078891478315500032,1
102,1050922613669430016,1077744349974950016,1
103,1050922613669430016,1078878841011760000,1
104,1050922613669430016,1079979285209479936,1
105,1050922793844150016,1079988697420589952,1
106,1050925090770840064,1076114626446429952,1
107,1050926887279330048,925986591169645952,1
108,1050927029294269952,1072746380104109952,1
109,1050928909147769984,1071233934872870016,1
110,1050928909147769984,1074173594280460032,1
111,1050928909147769984,1076027018739510016,1
112,1050940284607719936,1061081280972649984,1
113,1050952841422770048,1071233934872870016,1
114,1050952841422770048,1074115973322179968,1
115,1050958448800370048,1079218767259570048,1
116,1050959781058119936,1057119644821810048,1
117,1050972957002759936,1074911558212060032,1
118,1050975011976839936,1071233934872870016,1
119,1050979140124080000,1071233934872870016,1
120,1050979140124080000,1079988697420589952,1
121,1050979140124080000,930020311925067008,2
