index,用户ID,商品ID,times
0,1.00799101965e+18,1082903829821849984,1
1,1.00924766347e+18,1053542097324409984,1
2,1.00924766347e+18,1062636078532460032,2
3,1.00924766347e+18,1067317584555209984,2
4,1.00924766347e+18,1077416131820579968,1
5,1.00924766347e+18,1078878841011760000,1
6,1.00924766347e+18,1082315993301190016,2
7,1.01657860495e+18,1079213286902269952,9
8,1.01657860495e+18,1082315993301190016,1
9,1.01688257372e+18,1062636078532460032,2
10,1.01688257372e+18,1072767600983869952,2
11,1.01688257372e+18,1079218767259570048,1
12,1.01688257372e+18,1082903829821849984,1
13,1.02194697433e+18,1067317584555209984,3
14,1.02640636535e+18,1072325448805970048,1
15,1.02640636535e+18,1076048418560870016,1
16,1.02640636535e+18,1076114626446429952,1
17,1.04266773398e+18,1072767600983869952,1
18,1.04313606181e+18,1079213286902269952,1
19,1.04480880685e+18,1063340225477020032,3
20,1.04483622118e+18,1074115973322179968,1
21,1.04491900261e+18,1079218767259570048,2
22,1.04506731163e+18,1067816065782840064,2
23,1.04514208153e+18,1067816065782840064,1
24,1.04514316443e+18,1076027018739510016,1
25,1.04517193832e+18,1079213286902269952,1
26,1.04517444941e+18,1076027018739510016,3
27,1.04517444941e+18,1076114626446429952,1
28,1.04518975229e+18,1078891478315500032,1
29,1.04518975229e+18,1079213286902269952,1
30,1.04519552938e+18,1072325448805970048,1
31,1.04520658354e+18,1072352278325820032,1
32,1.04526229475e+18,1072054676204089984,1
33,1.04526229475e+18,1079988697420589952,1
34,1.04530149032e+18,1079213286902269952,1
35,1.04545566155e+18,1072767600983869952,1
36,1.04560790493e+18,930021583843560960,2
37,1.04583014282e+18,1062636078532460032,2
38,1.04601602094e+18,1062636078532460032,6
39,1.04601602094e+18,1063334104817270016,1
40,1.04601602094e+18,1070189984758169984,1
41,1.04601602094e+18,1079218767259570048,1
42,1.0462296318e+18,1067816065782840064,1
43,1.04630565556e+18,925986591169645952,1
44,1.04661258663e+18,1067816065782840064,1
45,1.04667975706e+18,1067816065782840064,1
46,1.04811532235e+18,1072765952437849984,1
47,1.04821849817e+18,1072325448805970048,1
48,1.04821849817e+18,1076114626446429952,1
49,1.04917895027e+18,1071233934872870016,2
50,1.04917895027e+18,1076027018739510016,1
51,1.0491989552e+18,1072767600983869952,3
52,1.04919993291e+18,1078537154968220032,1
53,1.04920226772e+18,1074115973322179968,2
54,1.04920363469e+18,930021583843560960,1
55,1.04920466359e+18,1078152846591980032,1
56,1.04920620101e+18,925980941496684032,1
57,1.04920656769e+18,1071233934872870016,1
58,1.0492078266e+18,1079213286902269952,2
59,1.04920794934e+18,1078878841011760000,1
60,1.04920844559e+18,1074560135796419968,1
61,1.04920905792e+18,1067816065782840064,2
62,1.04921021962e+18,1063340225477020032,1
63,1.04921244431e+18,1063340225477020032,1
64,1.04921246995e+18,1078152846591980032,1
65,1.04921300898e+18,1074173594280460032,2
66,1.04921393066e+18,930021583843560960,1
67,1.04921408164e+18,1074115973322179968,1
68,1.04921408164e+18,1078152846591980032,1
69,1.04921408164e+18,1079988697420589952,1
70,1.04921489206e+18,1079213286902269952,1
71,1.04921489206e+18,1079988697420589952,2
72,1.04921513841e+18,1074115973322179968,1
73,1.04921574242e+18,1073513010564230016,2
74,1.04921748204e+18,1057119644821810048,1
75,1.04921774499e+18,1072352278325820032,1
76,1.04921913006e+18,1074173594280460032,1
77,1.04921913006e+18,1077418014194860032,1
78,1.04921913006e+18,1077744349974950016,1
79,1.04921993487e+18,1076114626446429952,2
80,1.04921998987e+18,925986591169645952,2
81,1.04922002438e+18,1063340225477020032,1
82,1.04922002438e+18,1076114626446429952,1
83,1.04922008476e+18,1071233934872870016,1
84,1.0492218527e+18,1063255404587320064,1
85,1.0492218527e+18,1063340225477020032,1
86,1.0492218527e+18,1067816065782840064,2
87,1.0492218527e+18,1072325448805970048,3
88,1.0492218527e+18,1073513010564230016,1
89,1.0492218527e+18,1076027018739510016,1
90,1.0492218527e+18,1077418014194860032,1
91,1.0492218527e+18,1079213286902269952,1
92,1.04922257005e+18,1078878841011760000,1
93,1.04922262627e+18,1057119644821810048,1
94,1.04922305109e+18,1072325448805970048,2
95,1.04922397113e+18,1072767600983869952,1
96,1.04922397113e+18,1074560135796419968,1
97,1.04922667128e+18,1074173594280460032,2
98,1.04922682261e+18,1077416131820579968,1
99,1.04922827476e+18,1071233934872870016,1
100,1.04922827476e+18,1072325448805970048,2
101,1.04922938359e+18,1072767600983869952,2
102,1.0492309334e+18,1079979285209479936,2
103,1.0492309334e+18,930020311925067008,1
104,1.04923361444e+18,1077744349974950016,1
105,1.0492344264e+18,1072054676204089984,9
106,1.04923494867e+18,1078891478315500032,2
107,1.04923509069e+18,930020311925067008,1
108,1.04923509069e+18,930021583843560960,1
109,1.04923686875e+18,1079979285209479936,1
110,1.04923741283e+18,1078878841011760000,1
111,1.0492378643e+18,1063340225477020032,1
112,1.04923794589e+18,1072767600983869952,1
113,1.04923899093e+18,1063340225477020032,1
114,1.04924110656e+18,1062636078532460032,1
115,1.04924257618e+18,1063340225477020032,2
116,1.04924257618e+18,1074173594280460032,1
117,1.04924539425e+18,1079218767259570048,4
118,1.04924670846e+18,1057119644821810048,1
119,1.04924670846e+18,1072325448805970048,1
120,1.04924670846e+18,1074173594280460032,2
121,1.04924671537e+18,1074115973322179968,2
122,1.04924956057e+18,1070189984758169984,1
123,1.04924956057e+18,1077406774068310016,1
124,1.04925024692e+18,1071233934872870016,3
125,1.04925024692e+18,930021583843560960,1
126,1.04925049114e+18,1062636078532460032,1
127,1.04925099076e+18,1063340225477020032,1
128,1.04925099076e+18,1067816065782840064,1
129,1.04925099076e+18,1079213286902269952,1
130,1.04925099076e+18,1079218767259570048,1
131,1.04925211488e+18,925984429119180032,2
132,1.04925268158e+18,1076114626446429952,1
133,1.04925440718e+18,1078152846591980032,1
134,1.04925440718e+18,1079988697420589952,2
135,1.04925559281e+18,1079988697420589952,3
136,1.04925613431e+18,1063340225477020032,1
137,1.04925613431e+18,1067816065782840064,1
138,1.04925629046e+18,1079979285209479936,1
139,1.0492565848e+18,1078878841011760000,4
140,1.04925917291e+18,1072325448805970048,1
141,1.04986347785e+18,1077406774068310016,1
142,1.05063467483e+18,1067816065782840064,1
143,1.05063533856e+18,1074115973322179968,1
144,1.05063541528e+18,1077406774068310016,1
145,1.0506357261e+18,1077744349974950016,1
146,1.05063573202e+18,1067816065782840064,1
147,1.05063573202e+18,1072765952437849984,2
148,1.05063642308e+18,1072767600983869952,2
149,1.05063808063e+18,1067816065782840064,1
150,1.05063970089e+18,1063340225477020032,2
151,1.05063970089e+18,1076027018739510016,1
152,1.05063970089e+18,1076114626446429952,2
153,1.05063970089e+18,1077389675279219968,1
154,1.05063970089e+18,1077418014194860032,1
155,1.05064021142e+18,1062636078532460032,1
156,1.05064021142e+18,1071233934872870016,1
157,1.05064084531e+18,1078891478315500032,1
158,1.0506409332e+18,1078878841011760000,3
159,1.05064146774e+18,1071233934872870016,1
160,1.05064146774e+18,1074115973322179968,1
161,1.05064434635e+18,1072325448805970048,1
162,1.05064515702e+18,1079218767259570048,1
163,1.05064529878e+18,930020311925067008,1
164,1.05064705828e+18,1071233934872870016,1
165,1.05064794445e+18,930021583843560960,5
166,1.05065057361e+18,925980941496684032,1
167,1.05065089928e+18,1067816065782840064,1
168,1.05065138276e+18,1061081280972649984,1
169,1.05065138276e+18,1062636078532460032,1
170,1.05065240681e+18,1063340225477020032,1
171,1.05065284114e+18,1076114626446429952,1
172,1.05065332524e+18,1072767600983869952,2
173,1.05065467429e+18,1074173594280460032,2
174,1.05065515296e+18,1072325448805970048,1
175,1.0506561248e+18,1074115973322179968,1
176,1.05065637794e+18,1072767600983869952,1
177,1.05065820125e+18,1079213286902269952,1
178,1.05065863899e+18,1077406774068310016,2
179,1.05066173731e+18,1054907065076610048,2
180,1.05066495362e+18,1062636078532460032,1
181,1.0506677011e+18,1071233934872870016,2
182,1.05066804705e+18,1072767600983869952,4
183,1.05067044861e+18,1077418014194860032,1
184,1.05067586923e+18,1063340225477020032,1
185,1.05067586923e+18,1077418014194860032,2
186,1.05067586923e+18,1079218767259570048,1
187,1.05067608802e+18,1062636078532460032,1
188,1.05067608802e+18,1077418014194860032,3
189,1.05068688971e+18,1067816065782840064,1
190,1.05068779696e+18,1074115973322179968,1
191,1.05069129098e+18,1077406774068310016,1
192,1.05069422234e+18,1072045513977689984,2
193,1.05069735591e+18,1072352278325820032,2
194,1.05069798702e+18,1078891478315500032,1
195,1.05070389798e+18,1078891478315500032,1
196,1.05070795951e+18,1071233934872870016,1
197,1.05071391828e+18,1070189984758169984,1
198,1.05071468962e+18,1072054676204089984,2
199,1.0507148568e+18,930021583843560960,1
200,1.05071875124e+18,1070189984758169984,1
201,1.05071875124e+18,1076114626446429952,1
202,1.05071875124e+18,925980941496684032,1
203,1.05072138267e+18,1063340225477020032,1
204,1.05072523649e+18,1067816065782840064,1
205,1.05072523649e+18,1072054676204089984,1
206,1.05073007922e+18,1079988697420589952,1
207,1.05073017501e+18,1077416131820579968,1
208,1.05073017501e+18,1077418014194860032,1
209,1.05073017501e+18,925984429119180032,1
210,1.05073017501e+18,925986591169645952,1
211,1.05073280933e+18,1072765952437849984,1
212,1.05073280933e+18,1076027018739510016,1
213,1.05073636903e+18,1078891478315500032,1
214,1.05073679779e+18,1071233934872870016,2
215,1.05074001309e+18,1062343120067299968,1
216,1.05074123483e+18,1074115973322179968,1
217,1.05074157787e+18,1082315993301190016,1
218,1.05074940633e+18,1073513010564230016,2
219,1.05074964246e+18,1077842555702409984,1
220,1.05075102944e+18,1077389675279219968,1
221,1.05075102944e+18,1079988697420589952,2
222,1.0507521476e+18,1071233934872870016,2
223,1.05075337477e+18,1057119644821810048,3
224,1.05075367081e+18,1074560135796419968,3
225,1.05076258443e+18,1063340225477020032,1
226,1.05076258443e+18,1077406774068310016,1
227,1.05076546859e+18,1076114626446429952,1
228,1.05078003134e+18,1079988697420589952,2
229,1.05078248477e+18,1072767600983869952,1
230,1.05078759778e+18,1079212944319900032,1
231,1.0507888955e+18,1077744349974950016,5
232,1.05080766915e+18,930021583843560960,1
233,1.05086765992e+18,1057119644821810048,2
234,1.05087518705e+18,1077418014194860032,1
235,1.05087553631e+18,1072352278325820032,1
236,1.05087847174e+18,1072054676204089984,1
237,1.05087990482e+18,1061081280972649984,1
238,1.0508909378e+18,930021583843560960,1
239,1.05089335765e+18,1071233934872870016,1
240,1.05089606508e+18,1074560135796419968,1
241,1.05089810021e+18,1062636078532460032,1
242,1.05090129563e+18,1071233934872870016,1
243,1.05090129563e+18,1072054676204089984,2
244,1.05090129563e+18,925980941496684032,1
245,1.05090296238e+18,1067317584555209984,1
246,1.05090376329e+18,1063340225477020032,2
247,1.05090646441e+18,1067816065782840064,1
248,1.05090684912e+18,1063340225477020032,1
249,1.05090805907e+18,1070190717700210048,1
250,1.05090904581e+18,1072767600983869952,1
251,1.05090936382e+18,1078878841011760000,3
252,1.05091149118e+18,1079979285209479936,1
253,1.05091219599e+18,1077406774068310016,1
254,1.050913734e+18,1078891478315500032,1
255,1.05091526332e+18,925980941496684032,2
256,1.05091577635e+18,1079213286902269952,2
257,1.05091589106e+18,1063340225477020032,2
258,1.05091589106e+18,1072765952437849984,1
259,1.05091589106e+18,1077418014194860032,3
260,1.05091589106e+18,1079979285209479936,1
261,1.05091590598e+18,1079218767259570048,1
262,1.05091610622e+18,1071233934872870016,1
263,1.05091818256e+18,1072352278325820032,1
264,1.05091879059e+18,930021583843560960,1
265,1.05092255526e+18,1071233934872870016,2
266,1.05092261367e+18,1078878841011760000,1
267,1.05092261367e+18,1079979285209479936,1
268,1.05092345709e+18,1079212944319900032,2
269,1.0509263515e+18,925980941496684032,1
270,1.05092658606e+18,930021583843560960,5
271,1.05093050287e+18,1070189984758169984,1
272,1.05093492773e+18,1071233934872870016,1
273,1.05093773606e+18,1079979285209479936,1
274,1.05093848599e+18,1067816065782840064,1
275,1.0509400044e+18,1061081280972649984,1
276,1.0509400044e+18,1072054676204089984,1
277,1.0509400044e+18,1072352278325820032,2
278,1.05094028461e+18,1061081280972649984,1
279,1.05094771837e+18,1063334104817270016,1
280,1.05094771837e+18,1067816065782840064,1
281,1.05095240608e+18,1063340225477020032,1
282,1.05095456165e+18,1071233934872870016,2
283,1.05095456165e+18,1072054676204089984,1
284,1.05095491076e+18,1072325448805970048,1
285,1.05095511458e+18,925980941496684032,1
286,1.05095806815e+18,1072054676204089984,1
287,1.05095842517e+18,1067816065782840064,1
288,1.05095960218e+18,1072325448805970048,1
289,1.05097015193e+18,1063340225477020032,1
290,1.05097015193e+18,1071233934872870016,2
291,1.05097015193e+18,1079218767259570048,1
292,1.05097062218e+18,1057119644821810048,2
293,1.050972957e+18,1063340225477020032,1
294,1.050972957e+18,1074911558212060032,7
295,1.05097888831e+18,1063090361786759936,1
296,1.05097914012e+18,1079988697420589952,1
297,1.05098296327e+18,1072054676204089984,1
298,1.05098506363e+18,930021583843560960,2
299,1.05098559171e+18,1072765952437849984,1
300,1.05099263934e+18,1074115973322179968,1
301,1.05099677564e+18,1074115973322179968,1
302,1.05099721412e+18,1071233934872870016,1
303,1.05099945858e+18,1072352278325820032,1
304,1.05099945858e+18,930021583843560960,1
305,1.05100026307e+18,1071233934872870016,4
306,1.05100026307e+18,930021583843560960,1
307,1.05100667685e+18,1072325448805970048,1
308,1.05100710445e+18,1067816065782840064,2
