index,用户ID,商品ID,times
0,1.01657860495e+18,1070189984758169984,1
1,1.04526229475e+18,1079988697420589952,1
2,1.04920466359e+18,1078152846591980032,1
3,1.04924087896e+18,930021583843560960,1
4,1.05065625705e+18,1079988697420589952,1
5,1.05065820125e+18,1077390723490320000,1
6,1.05075379837e+18,1078878841011760000,1
7,1.05077764943e+18,1067816065782840064,1
8,1.05077764943e+18,930021583843560960,1
9,1.0507888955e+18,1077744349974950016,1
10,1.0508909378e+18,930021583843560960,1
11,1.05094281782e+18,1077406774068310016,1
12,1.0509585882e+18,1072744947178860032,1
13,1.05096326242e+18,1063255404587320064,2
14,1.05125386741e+18,1072045513977689984,1
15,1.05138689185e+18,1079212944319900032,1
16,1.05160912195e+18,1074115973322179968,1
17,1.05165893346e+18,1061081280972649984,1
18,1.05172451721e+18,1063340225477020032,1
19,1.05232915048e+18,1074173594280460032,1
20,1.05256031612e+18,1074173594280460032,1
21,1.05269049134e+18,1076114626446429952,1
22,1.0528141343e+18,1063340225477020032,1
23,1.0528141343e+18,1067816065782840064,1
24,1.05288940202e+18,1063340225477020032,1
25,1.05322227905e+18,1076114626446429952,2
26,1.05322227905e+18,1077416131820579968,1
27,1.05332273541e+18,1074911558212060032,1
28,1.05380467275e+18,1077406774068310016,1
29,1.05401823797e+18,1072767600983869952,1
30,1.05538502037e+18,1063340225477020032,1
31,1.05562949079e+18,1072352278325820032,1
32,1.05612638454e+18,1079212944319900032,2
33,1.05722358451e+18,1067816065782840064,1
34,1.05722358451e+18,1072765952437849984,1
35,1.06372055916e+18,1067816065782840064,1
36,1.06513593524e+18,1067816065782840064,1
37,1.0654388336e+18,1078152846591980032,1
38,1.06941376534e+18,1054907065076610048,1
39,1.06941376534e+18,930022039676324992,1
40,1.06942024455e+18,1076048418560870016,1
41,1.07082739292e+18,1063340225477020032,1
42,1.07265249089e+18,1079988697420589952,1
43,1.07378329289e+18,1067816065782840064,1
44,1.07385224949e+18,1072325448805970048,1
45,1.07385477658e+18,1079213286902269952,1
46,1.07564984958e+18,1074911558212060032,1
47,1.07594652897e+18,1067816065782840064,1
48,1.07636340497e+18,1067317584555209984,3
49,1.07636831369e+18,1063340225477020032,1
50,1.07636831369e+18,1067816065782840064,1
51,1.07636831369e+18,1078891478315500032,1
52,1.07711902766e+18,1076056809760950016,1
53,1.07848326034e+18,1076027018739510016,1
54,1.07861269576e+18,1078878841011760000,2
55,1.07916894253e+18,1074911558212060032,1
56,1.08076218946e+18,1078891478315500032,1
57,1.08079502113e+18,1063340225477020032,1
58,1.08153976371e+18,1067816065782840064,1
59,1.08154777203e+18,1079218767259570048,1
60,1.08175524517e+18,1077406774068310016,1
61,1.08203275379e+18,1077744349974950016,1
62,1.08215321766e+18,1078891478315500032,4
63,1.08262426612e+18,1079212944319900032,1
64,1.08301913476e+18,1079988697420589952,1
65,1.08315298612e+18,1079988697420589952,1
66,1.08371357992e+18,1074115973322179968,1
67,1.08402248915e+18,1077744349974950016,1
68,1.08402248915e+18,1078152846591980032,1
69,1.08409822657e+18,1079979285209479936,1
70,1.08436923102e+18,1063340225477020032,1
71,1.08436923102e+18,930022039676324992,1
72,1.08471165642e+18,1077406774068310016,1
73,nan,1067317584555209984,1
74,nan,1067816065782840064,3
75,nan,1070189984758169984,1
76,nan,1072325448805970048,5
77,nan,1072765952437849984,1
78,nan,1072767600983869952,2
79,nan,1076114626446429952,3
80,nan,1077406774068310016,1
81,nan,1077416131820579968,1
82,nan,1077418014194860032,1
83,nan,1078891478315500032,2
84,nan,1079212944319900032,1
85,nan,1079213286902269952,2
86,nan,1079988697420589952,1
87,nan,930021583843560960,3
88,nan,930022039676324992,1
